date_detected,timestamp,title,slug,outcome,type,side,price,size,usdcSize,asset,transactionHash
2026-05-26 15:08:37,1779800585,Bitcoin Up or Down on May 26?,bitcoin-up-or-down-on-may-26-2026,Down,TRADE,BUY,0.81,99,81.25652,101413462990998546049607956368994022024443266822606241226320545973718102670483,0x07037dea86e4a292628ed85f5997886cfd758451a9eeb9a4460fa1a8ce85f237
2026-05-26 15:08:37,1779800443,"Will Bitcoin reach $78,000 on May 26?",will-bitcoin-reach-78k-on-may-26,No,TRADE,BUY,0.6100000226200032,12.820511,7.820512,63046365328317475095088274760775100639081837613432576428582914584497519766670,0xed0694d0783ade13a543891bdc8ba658517bba673d50cfbfd59ee8135de7faa9
2026-05-26 15:08:37,1779800095,"Will the price of Bitcoin be above $78,000 on May 26?",bitcoin-above-78k-on-may-26-2026,No,TRADE,BUY,0.922,4598.44,4239.76168,14658893069672317885388728058038617297662316167660245758411111871452668226283,0x923d9c673a4e88412f9f5753ccd000de37915264ffdb549a1cf83beebaf5c3c5
2026-05-26 15:08:37,1779800027,Bitcoin Up or Down on May 26?,bitcoin-up-or-down-on-may-26-2026,Down,TRADE,BUY,0.82,34.99,29.05331,101413462990998546049607956368994022024443266822606241226320545973718102670483,0xeb1f8f05b1ade62822c3924d42fb7adb99510f8cf7130f46ea5282430cdce1cf
2026-05-26 15:08:37,1779799995,Bitcoin Up or Down on May 26?,bitcoin-up-or-down-on-may-26-2026,Down,TRADE,BUY,0.81,30.1,24.70526,101413462990998546049607956368994022024443266822606241226320545973718102670483,0x57bcb4bd9127e3721e95091e9b309d942d473f202cb978b16ce585d65923ca16
2026-05-26 15:08:37,1779799685,Bitcoin Up or Down on May 26?,bitcoin-up-or-down-on-may-26-2026,Down,TRADE,BUY,0.82,3351,2782.4425300000003,101413462990998546049607956368994022024443266822606241226320545973718102670483,0xc4bd9319e127828dd9cc7de2776a767b299855ab40142757b215cf80c30b2955
2026-05-26 15:08:37,1779799684,"Will the price of Bitcoin be between $74,000 and $76,000 on May 26?",will-the-price-of-bitcoin-be-between-74000-76000-on-may-26-2026,No,TRADE,BUY,0.949,2,1.898,47600455615929490626163943130629826387064004292876452673926931722754065500594,0xf4be88ddd17893fcfbdb5bd22c104ce2d75b0ae725bbe51a931f36cecbed4ee6
2026-05-26 15:08:37,1779799684,"Will the price of Bitcoin be above $78,000 on May 26?",bitcoin-above-78k-on-may-26-2026,No,TRADE,BUY,0.925,60,55.79137,14658893069672317885388728058038617297662316167660245758411111871452668226283,0x0d9dcb1e8b2827d349488d9f2005c3148601cf3ffa1e560c059b2ff1cdff4023
2026-05-26 15:08:37,1779799684,"Will the price of Bitcoin be between $74,000 and $76,000 on May 26?",will-the-price-of-bitcoin-be-between-74000-76000-on-may-26-2026,No,TRADE,BUY,0.949,5,4.745,47600455615929490626163943130629826387064004292876452673926931722754065500594,0x430c22ca8f21ce51c54e58c8cf7bdbd5f77c26bea224217c1851b3bb843dc162
2026-05-26 15:08:37,1779799684,"Will the price of Bitcoin be between $78,000 and $80,000 on May 26?",will-the-price-of-bitcoin-be-between-78000-80000-on-may-26-2026,No,TRADE,BUY,0.931,444.81,416.1183,89825981471271232929499222091693176490611251677486306330362067390787902252899,0xaa1b90a8b8b48a2666a4bff6552c29fd8a4e2bef0bbeadc58e8c7e3917675a5c
